Site,ID,H11,H12,H13,H21,H22,H23,H31,H32,H33,AveH1,AveH2,AveH3
1-800-flowers,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,3,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,4,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,5,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,6,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,7,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,8,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,9,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,10,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,11,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,12,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,13,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,14,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
1-800-flowers,15,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Alfred Sung,1,4,,,3,,,4,,,4,3,4
Alfred Sung,2,4,,,3,,,4,,,4,3,4
Alfred Sung,3,4,,,3,,,4,,,4,3,4
Alfred Sung,4,4,,,3,,,4,,,4,3,4
Alfred Sung,5,4,,,4,,,4,,,4,4,4
Alfred Sung,6,4,,,3,,,4,,,4,3,4
Alfred Sung,7,4,,,4,,,4,,,4,4,4
Alfred Sung,8,4,,,3,,,4,,,4,3,4
Alfred Sung,9,4,,,4,,,4,,,4,4,4
Alfred Sung,10,2,,,3,,,4,,,2,3,4
Alfred Sung,11,2,,,3,,,4,,,2,3,4
Alfred Sung,12,2,,,3,,,4,,,2,3,4
Alfred Sung,13,4,,,3,,,4,,,4,3,4
Alfred Sung,14,4,,,3,,,4,,,4,3,4
Alfred Sung,15,2,,,2,,,4,,,2,2,4
Alibaba,1,3,,,2,,,2,,,3,2,2
Alibaba,2,4,,,4,,,3,,,4,4,3
Alibaba,3,3,,,2,,,2,,,3,2,2
Alibaba,4,2,,,3,,,2,,,2,3,2
Alibaba,5,2,,,2,,,2,,,2,2,2
Alibaba,6,2,,,2,,,2,,,2,2,2
Alibaba,7,3,,,2,,,3,,,3,2,3
Alibaba,8,3,,,2,,,2,,,3,2,2
Alibaba,9,2,,,3,,,4,,,2,3,4
Alibaba,10,2,,,2,,,1,,,2,2,1
Alibaba,11,3,,,3,,,2,,,3,3,2
Alibaba,12,2,,,3,,,2,,,2,3,2
Alibaba,13,1,,,2,,,2,,,1,2,2
Alibaba,14,2,,,2,,,3,,,2,2,3
Alibaba,15,2,,,2,,,3,,,2,2,3
Amazon,1,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
Amazon,2,,,,,,,,,,"#DIV/0!","#DIV/0!","#DIV/0!"
